基準日,銘柄,発行日,償還日,利率,簿価,時価,修正デュレーション
2024-10-31,第142回利付国庫債券（5年）,2020-03-11,2024-12-20,-0.0022,6000000000,5990996539.125361,0.13591471458686888
2024-10-31,第153回利付国庫債券（5年）,2022-09-14,2027-06-20,0.0004,10000000000,9897287653.628094,2.631623784253434
2024-10-31,第169回利付国庫債券（5年）,2024-06-21,2029-03-20,0.00512,1400000000,1399612990.7310367,4.3316042475906
2024-10-31,第170回利付国庫債券（5年）,2024-07-10,2029-06-20,0.00612,500000000,502378754.1912644,4.557148341746315
2024-10-31,第347回利付国庫債券（10年）,2017-08-03,2027-06-20,0.00073,5000000000,4953570961.129375,2.6303812524980366
2024-10-31,第375回利付国庫債券（10年）,2024-09-04,2034-06-20,0.00915,1000000000,1002220298.1331292,9.19063944133825
2024-10-31,第95回利付国庫債券（20年）,2007-07-31,2027-06-20,0.02293,10000000000,10570065448.32117,2.5521116445030785
2024-10-31,第145回利付国庫債券（20年）,2013-06-20,2033-06-20,0.01686,10000000000,10813427868.37919,8.021164268766944
2024-11-29,第448回利付国庫債券（2年）,2023-05-01,2025-05-01,0.00042,300000000,299453696.6251355,0.4128938212271613
2024-11-29,第142回利付国庫債券（5年）,2020-03-11,2024-12-20,-0.0022,6000000000,5991717130.509073,0.04987979048381813
2024-11-29,第153回利付国庫債券（5年）,2022-09-14,2027-06-20,0.0004,10000000000,9858447106.113852,2.5435633885074176
2024-11-29,第169回利付国庫債券（5年）,2024-06-21,2029-03-20,0.00512,1400000000,1390983126.1038077,4.242228026317818
2024-11-29,第170回利付国庫債券（5年）,2024-07-10,2029-06-20,0.00612,500000000,499144235.99481034,4.467519723329431
2024-11-29,第347回利付国庫債券（10年）,2017-08-03,2027-06-20,0.00073,5000000000,4934141312.253873,2.5423180295443935
2024-11-29,第375回利付国庫債券（10年）,2024-09-04,2034-06-20,0.00915,1000000000,992983740.5830202,9.097284765715383
2024-11-29,第95回利付国庫債券（20年）,2007-07-31,2027-06-20,0.02293,10000000000,10529944771.006182,2.463881438321967
2024-11-29,第145回利付国庫債券（20年）,2013-06-20,2033-06-20,0.01686,10000000000,10719689311.940533,7.927120656510947
2024-12-30,第448回利付国庫債券（2年）,2023-05-01,2025-05-01,0.00042,300000000,299633126.0586147,0.31876389619855294
2024-12-30,第153回利付国庫債券（5年）,2022-09-14,2027-06-20,0.0004,10000000000,9862472691.23408,2.4499453113304552
2024-12-30,第169回利付国庫債券（5年）,2024-06-21,2029-03-20,0.00512,1400000000,1391223081.9764836,4.147871845351939
2024-12-30,第170回利付国庫債券（5年）,2024-07-10,2029-06-20,0.00612,500000000,497863037.3930379,4.385218121707934
2024-12-30,第347回利付国庫債券（10年）,2017-08-03,2027-06-20,0.00073,5000000000,4935332527.780237,2.4491161314607988
2024-12-30,第375回利付国庫債券（10年）,2024-09-04,2034-06-20,0.00915,1000000000,987484335.3270361,9.025125935191491
2024-12-30,第95回利付国庫債券（20年）,2007-07-31,2027-06-20,0.02293,10000000000,10421787746.608974,2.396328443974801
2024-12-30,第145回利付国庫債券（20年）,2013-06-20,2033-06-20,0.01686,10000000000,10601118549.502647,7.892155177086093
2025-01-31,第448回利付国庫債券（2年）,2023-05-01,2025-05-01,0.00042,300000000,299639142.2602512,0.2437619188370531
2025-01-31,第153回利付国庫債券（5年）,2022-09-14,2027-06-20,0.0004,10000000000,9834502733.921894,2.3735161508064624
2025-01-31,第169回利付国庫債券（5年）,2024-06-21,2029-03-20,0.00512,1400000000,1382979328.2997274,4.069696342871712
2025-01-31,第170回利付国庫債券（5年）,2024-07-10,2029-06-20,0.00612,500000000,494712084.10542727,4.306801708184493
2025-01-31,第347回利付国庫債券（10年）,2017-08-03,2027-06-20,0.00073,5000000000,4921341958.152952,2.372685869229819
2025-01-31,第375回利付国庫債券（10年）,2024-09-04,2034-06-20,0.00915,1000000000,976231302.8771963,8.941374290832975
2025-01-31,第95回利付国庫債券（20年）,2007-07-31,2027-06-20,0.02293,10000000000,10393054367.593847,2.3198308564106997
2025-01-31,第145回利付国庫債券（20年）,2013-06-20,2033-06-20,0.01686,10000000000,10494846874.58416,7.808510731415608
2025-02-28,第448回利付国庫債券（2年）,2023-05-01,2025-05-01,0.00042,300000000,299748052.5477848,0.16062843086899317
2025-02-28,第153回利付国庫債券（5年）,2022-09-14,2027-06-20,0.0004,10000000000,9821141367.534397,2.2895233629845166
2025-02-28,第169回利付国庫債券（5年）,2024-06-21,2029-03-20,0.00512,1400000000,1378724297.5227468,3.9847274869681972
2025-02-28,第170回利付国庫債券（5年）,2024-07-10,2029-06-20,0.00612,500000000,493084827.38047576,4.221704442618629
2025-02-28,第347回利付国庫債券（10年）,2017-08-03,2027-06-20,0.00073,5000000000,4914659942.529961,2.288692440117256
2025-02-28,第375回利付国庫債券（10年）,2024-09-04,2034-06-20,0.00915,1000000000,966673048.0877502,8.850450771468163
2025-02-28,第95回利付国庫債券（20年）,2007-07-31,2027-06-20,0.02293,10000000000,10379511064.049812,2.235800546560109
2025-02-28,第145回利付国庫債券（20年）,2013-06-20,2033-06-20,0.01686,10000000000,10407836749.367506,7.7179253239213015
2025-03-31,第448回利付国庫債券（2年）,2023-05-01,2025-05-01,0.00042,300000000,299897942.1189335,0.08306751827016103
2025-03-31,第153回利付国庫債券（5年）,2022-09-14,2027-06-20,0.0004,10000000000,9819776445.329971,2.2116438308520805
2025-03-31,第169回利付国庫債券（5年）,2024-06-21,2029-03-20,0.00512,1400000000,1372670951.941424,3.916279039232635
2025-03-31,第170回利付国庫債券（5年）,2024-07-10,2029-06-20,0.00612,500000000,491931377.64872485,4.142613873460224
2025-03-31,第347回利付国庫債券（10年）,2017-08-03,2027-06-20,0.00073,5000000000,4913978329.825245,2.2108125892770083
2025-03-31,第375回利付国庫債券（10年）,2024-09-04,2034-06-20,0.00915,1000000000,958834176.0824796,8.766236213245023
2025-03-31,第95回利付国庫債券（20年）,2007-07-31,2027-06-20,0.02293,0,0.0,0.0
2025-03-31,第145回利付国庫債券（20年）,2013-06-20,2033-06-20,0.01686,0,0.0,0.0
